Episode,Mean Score,Min Score,Max Score,Moving Avg. (100 eps)
1,0.414499990735,0.0899999979883,0.989999977872,0.414499990735
2,0.612999986298,0.0899999979883,1.53999996558,0.513749988517
3,0.804999982007,0.0699999984354,1.91999995708,0.61083331968
4,0.729499983694,0.0,1.699999962,0.640499985684
5,1.1139999751,0.0,2.46999994479,0.735199983567
6,1.4809999669,0.139999996871,3.88999991305,0.859499980789
7,1.50499996636,0.489999989048,2.52999994345,0.951714264442
8,2.3309999479,0.449999989942,5.7399998717,1.12412497487
9,2.61299994159,1.23999997228,5.04999988712,1.28955552673
10,3.3689999247,1.40999996848,7.4399998337,1.49749996653
11,4.65099989604,1.93999995664,13.2299997043,1.7841817783
12,5.41699987892,2.26999994926,9.98999977671,2.08691662002
13,6.52149985423,2.49999994412,12.8899997119,2.42803840727
14,8.8404998024,3.25999992713,16.0099996421,2.88607136406
15,10.6219997626,4.73999989405,19.0299995746,3.40179992396
16,12.7914997141,3.54999992065,26.0799994171,3.98865616085
17,13.8339996908,6.5899998527,21.4699995201,4.56779401555
18,17.0134996197,11.2799997479,20.6099995393,5.25922210467
19,16.9704996207,7.75999982655,24.649999449,5.87560513183
20,20.3739995446,14.7999996692,24.9999994412,6.60052485247
21,19.7639995582,15.5999996513,23.4799994752,7.22735698131
22,22.0329995075,17.8199996017,27.1799993925,7.9003407325
23,23.3444994782,13.5899996962,37.1299991701,8.57182589536
24,24.3494994557,20.0399995521,39.4699991178,9.22922896038
25,24.2529994579,17.4599996097,31.1499993037,9.83017978028
26,25.1204994385,19.2999995686,29.8699993324,10.4182689979
27,25.6714994262,21.2599995248,29.7999993339,10.9832034582
28,26.0689994173,21.0099995304,30.9299993087,11.5219818853
29,27.335999389,22.009999508,38.4699991401,12.0672928337
30,27.5519993842,21.789999513,31.7899992894,12.5834497187
31,27.3659993883,20.7099995371,31.8399992883,13.0603061597
32,30.1419993263,26.2199994139,34.1399992369,13.5941090711
33,29.4884993409,21.0299995299,37.7799991556,14.0757572611
34,29.3694993435,22.8499994893,36.2799991891,14.5255732047
35,31.0519993059,26.3799994104,35.2599992119,14.9977568076
36,29.52949934,17.9299995992,37.6399991587,15.4014163224
37,31.2684993011,22.3799994998,39.4399991184,15.8302564029
38,30.6834993142,23.6199994721,36.2599991895,16.2211312164
39,32.6889992693,24.5699994508,36.6999991797,16.6433842434
40,31.5724992943,24.6899994481,37.9199991524,17.0166121196
41,32.7599992678,29.7599993348,35.5799992047,17.400597172
42,32.168499281,27.3199993894,38.9399991296,17.7522138889
43,30.6769993143,23.889999466,34.8199992217,18.0527902942
44,32.0649992833,29.0099993516,35.7299992014,18.3712495894
45,30.9714993077,25.3399994336,36.5199991837,18.6512551387
46,33.4504992523,29.7799993344,36.8099991772,18.9729778368
47,32.5019992735,27.7499993797,37.3099991661,19.2608293567
48,30.556999317,25.9299994204,34.0499992389,19.4961662309
49,29.6879993364,25.0699994396,32.3299992774,19.7041628249
50,33.731499246,29.6099993382,37.0799991712,19.9847095533
51,31.7974992893,27.1699993927,35.1099992152,20.2163328815
52,32.7709992675,29.1999993473,36.149999192,20.4577687735
53,33.2954992558,27.5399993844,37.6899991576,20.6999901034
54,31.5954992938,27.6399993822,36.0999991931,20.9017587921
55,33.2724992563,27.3399993889,35.9299991969,21.126681346
56,33.914499242,30.4899993185,36.3499991875,21.355035237
57,34.1564992365,31.6099992935,36.6299991813,21.5796223247
58,33.8039992444,27.7099993806,36.9899991732,21.790387444
59,33.2299992573,28.679999359,36.4099991862,21.9842791696
60,33.9784992405,28.3099993672,38.3099991437,22.1841828375
61,34.9544992187,30.7199993134,37.9599991515,22.3935322864
62,34.9729992183,31.9999992847,36.729999179,22.5964269143
63,34.8339992214,30.4999993183,38.8399991319,22.7906740938
64,34.1689992363,28.9099993538,38.4599991404,22.9684604241
65,35.2684992117,30.7599993125,37.4199991636,23.1576917901
66,35.3379992101,30.0899993274,38.3799991421,23.3422419025
67,36.6479991809,33.3699992541,38.3899991419,23.5408352947
68,36.6474991809,33.5199992508,38.7999991328,23.7335803519
69,36.4239991859,32.6999992691,38.6799991354,23.9174994654
70,37.1824991689,34.269999234,38.9599991292,24.1069994612
71,37.044499172,33.7699992452,38.789999133,24.289217767
72,36.3869991867,32.5599992722,38.969999129,24.4572425089
73,36.8354991767,34.849999221,38.6299991366,24.6268076687
74,38.1794991466,35.2899992112,39.4699991178,24.8099521482
75,37.4059991639,34.2899992336,39.5399991162,24.9778994417
76,36.5744991825,33.8599992432,39.0399991274,25.1304862804
77,37.8289991545,35.5999992043,39.1699991245,25.295402032
78,36.2019991908,33.6499992479,38.0399991497,25.4352302007
79,37.5724991602,35.4099992085,39.2699991222,25.5888665167
80,37.7079991572,34.9899992179,39.3599991202,25.7403556747
81,37.0849991711,32.0199992843,39.1099991258,25.8804130018
82,36.8374991766,34.5999992266,38.5099991392,26.0140360039
83,37.3799991645,33.8899992425,39.1599991247,26.1509753191
84,36.0459991943,30.8399993107,38.6699991357,26.2687732224
85,36.955499174,34.3699992318,38.6899991352,26.39449941
86,37.9354991521,36.7799991779,38.8999991305,26.5286970815
87,36.9959991731,33.9699992407,39.1499991249,26.6490108986
88,38.0374991498,35.9199991971,39.2699991222,26.7784255378
89,38.0609991493,36.4399991855,39.4399991184,26.9051960278
90,37.5744991601,35.2599992119,39.2699991222,27.0237438404
91,36.8284991768,35.0899992157,38.4199991412,27.1314884046
92,37.7454991563,36.5099991839,39.1199991256,27.2468580866
93,38.3154991436,36.5799991824,39.3199991211,27.3658757324
94,38.5414991385,34.2499992345,39.3899991196,27.4847653431
95,38.2549991449,36.5599991828,39.3899991196,27.5981362252
96,38.1909991464,35.2299992125,39.2299991231,27.7084785473
97,37.893499153,35.6299992036,39.3499991205,27.8134787598
98,37.0494991719,34.7099992242,38.7599991336,27.907723866
99,37.6609991582,35.8999991976,38.8499991316,28.0062417983
100,38.5479991384,36.2499991897,39.6099991146,28.1116593717
101,37.714499157,34.3299992327,39.4799991176,28.4846593633
102,38.6704991356,36.5699991826,39.6199991144,28.8652343548
103,37.9179991525,35.0499992166,39.4899991173,29.2363643465
104,38.4879991397,36.8399991766,39.6199991144,29.6139493381
105,37.8804991533,33.7099992465,39.549999116,29.9816143299
106,36.8449991765,34.0799992383,38.7399991341,30.335254322
